"","ID","city","year","weekofyear","trimester","ndvi","precipitation","air_temp_mean","diur_temp_range","humidity","total_cases","cases"
"1",1,"sj",1990,18,"T2",0.407630817925903,0.0317972350230415,0.388290840411271,0.0866601752676819,0.262659261686153,4,"low"
"2",2,"sj",1990,19,"T2",0.419152463466054,0.0584229390681004,0.472710103795004,0.0691333982474663,0.418163998700454,5,"low"
"3",3,"sj",1990,20,"T2",0.378645075388121,0.0884280593958013,0.548064211446575,0.0642648490750327,0.586899705984297,4,"low"
"4",4,"sj",1990,21,"T2",0.505996036949209,0.0393241167434716,0.575259678907468,0.0730282375851406,0.566808232611184,3,"low"
"5",5,"sj",1990,22,"T2",0.556200485935945,0.019252432155658,0.645514636492752,0.112950340798687,0.628226069914453,6,"low"
"6",6,"sj",1990,23,"T2",0.496524915310526,0.02452636968766,0.660245514623617,0.0506329113924914,0.628552760543333,2,"low"
"7",7,"sj",1990,24,"T2",0.415433140437158,0.00890937019969278,0.604343720457201,0.0467380720548171,0.631002940219914,4,"low"
"8",8,"sj",1990,25,"T2",0.335161642176961,0.386891961085509,0.655146364425124,0.0146056475173008,0.715942502448082,5,"low"
"9",9,"sj",1990,26,"T2",0.363783205366899,0.0494623655913978,0.653446647824497,0.0360272638751906,0.694544266582317,10,"low"
"10",10,"sj",1990,27,"T3",0.426059801609927,0.0368919610855095,0.729556185032282,0.04479065238598,0.726723293041043,6,"low"
"11",11,"sj",1990,28,"T3",0.415036566309581,0.0570148489503328,0.644759206804338,0.0545277507301656,0.652074485468233,8,"low"
"12",12,"sj",1990,29,"T3",0.609979466277606,0.151484895033282,0.665155807333905,0.0720545277510628,0.688500490033794,2,"low"
"13",13,"sj",1990,30,"T3",0.475227701460924,0.0421915002560164,0.650802644047244,0.0486854917236542,0.643253838614249,6,"low"
"14",14,"sj",1990,31,"T3",0.718524790232311,0.0836149513568868,0.691029272906176,0.0837390457640855,0.672165958841346,17,"low"
"15",15,"sj",1990,32,"T3",0.360590401579868,0.0737327188940092,0.760906515515051,0.0662122687438699,0.712838941525176,23,"low"
